"last_name, first_name","player_id","year","xba","xslg","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate"
"Sabathia, CC","282332","2019",".242",".421",".315",".310",".179","87","14.9",8.2
"Wainwright, Adam","425794","2019",".265",".429",".329",".338",".165","88.9","10.2",6.5
"Greinke, Zack","425844","2019",".238",".389",".281",".271",".151","87.5","11",6.3
"Jackson, Edwin","429719","2019",".309",".592",".408",".382",".283","91.1","11.9",12
"Hamels, Cole","430935","2019",".247",".417",".322",".325",".170","90.3","11.3",7.6
"Hernández, Félix","433587","2019",".280",".523",".368",".348",".243","91.9","11",10.1
"Petit, Yusmeiro","433589","2019",".213",".400",".271",".240",".187","87.8","21.4",7.5
"Verlander, Justin","434378","2019",".186",".346",".248",".233",".160","87.3","18.5",7.2
"Liriano, Francisco","434538","2019",".221",".367",".305",".323",".146","85.8","9.5",5
"Sánchez, Aníbal","434671","2019",".251",".421",".312",".316",".171","87","14.7",6.6
"Rondón, Héctor","444468","2019",".231",".401",".306",".303",".170","87.1","8.2",7
"Jansen, Kenley","445276","2019",".205",".341",".262",".264",".136","86.3","19.4",6.1
"Chavez, Jesse","445926","2019",".269",".471",".339",".327",".202","88.1","13.2",8.8
"Detwiler, Ross","446321","2019",".293",".545",".379",".361",".252","90.4","10.4",9.6
"Doolittle, Sean","448281","2019",".233",".449",".307",".284",".215","90.9","25.1",8.5
"Guerra, Junior","448855","2019",".220",".383",".302",".313",".163","86.9","14.3",6.2
"Morton, Charlie","450203","2019",".216",".337",".274",".285",".120","86.9","9.2",5
"Vargas, Jason","450306","2019",".243",".443",".326",".323",".200","87.6","16.7",7.9
"Lester, Jon","452657","2019",".274",".456",".337",".329",".182","88.6","12.2",7.4
"Hughes, Jared","453172","2019",".242",".400",".313",".321",".158","89.7","1.3",6.8
"Kennedy, Ian","453178","2019",".219",".368",".275",".272",".150","88.6","14.8",6.3
"LeBlanc, Wade","453281","2019",".280",".491",".343",".323",".211","89.4","13.9",7.8
"Parker, Blake","453284","2019",".271",".481",".351",".344",".210","88.9","14.7",9.1
"Scherzer, Max","453286","2019",".203",".336",".253",".250",".133","87.6","13.5",6.6
"Buchholz, Clay","453329","2019",".294",".554",".376",".342",".260","86.8","10.7",13.2
"Melancon, Mark","453343","2019",".243",".338",".277",".296",".095","88.6","3",2
"Arrieta, Jake","453562","2019",".266",".446",".337",".338",".181","89.3","6.8",6.8
"Price, David","456034","2019",".244",".426",".311",".301",".182","88.4","12.6",8.1
"Bailey, Homer","456701","2019",".262",".416",".318",".323",".154","90.3","13.6",5.7
"Guerra, Javy","457915","2019",".244",".437",".305",".292",".193","89.4","17.7",8
"Happ, J.A.","457918","2019",".258",".461",".331",".317",".204","89.2","13.7",8.3
"Albers, Matt","458006","2019",".233",".377",".307",".329",".144","87.2","7.7",5.9
"Lynn, Lance","458681","2019",".222",".372",".283",".282",".149","87.9","13.8",5.9
"Tomlin, Josh","458708","2019",".270",".466",".314",".285",".196","89.1","17.8",6.5
"Gonzalez, Gio","461829","2019",".245",".413",".319",".326",".168","87.4","9.6",6.4
"Soria, Joakim","465657","2019",".213",".385",".287",".280",".172","87.4","15.1",9.1
"Nova, Iván","467100","2019",".295",".477",".352",".345",".182","88.8","10.7",7.2
"Chacín, Jhoulys","468504","2019",".274",".484",".356",".353",".209","89.6","16.9",7.9
"Carrasco, Carlos","471911","2019",".264",".494",".333",".303",".230","91.5","13.3",12.8
"García, Luis","472610","2019",".248",".433",".338",".351",".185","88.6","9.8",7.7
"Anderson, Brett","474463","2019",".283",".480",".347",".335",".197","89.6","5",7.3
"Kershaw, Clayton","477132","2019",".230",".393",".289",".279",".163","88.7","11.8",6.6
"Cashner, Andrew","488768","2019",".262",".466",".343",".335",".203","89.7","10.3",7.7
"Miley, Wade","489119","2019",".245",".383",".307",".317",".138","87.5","8.3",4.3
"Stammen, Craig","489334","2019",".240",".388",".284",".277",".148","87","5.5",5.2
"Ottavino, Adam","493603","2019",".180",".287",".269",".303",".106","85.6","14.9",4.6
"Quintana, Jose","500779","2019",".273",".434",".326",".322",".161","90","11.1",5.7
"Pineda, Michael","501381","2019",".252",".443",".313",".294",".192","89.7","16.9",7.3
"Alvarez, Jose","501625","2019",".265",".413",".311",".319",".147","86.1","7.7",4.9
"Minor, Mike","501985","2019",".228",".389",".297",".296",".161","86.9","16.5",7
"Archer, Chris","502042","2019",".259",".476",".346",".342",".217","89.4","14.4",10.5
"Gibson, Kyle","502043","2019",".269",".437",".333",".334",".168","88.3","7.1",7.5
"Samardzija, Jeff","502188","2019",".253",".465",".326",".309",".212","89.5","16.9",8.3
"Leake, Mike","502190","2019",".294",".519",".355",".325",".225","90.7","11.6",8.8
"Cahill, Trevor","502239","2019",".263",".456",".340",".337",".193","88.8","9.1",7
"Anderson, Chase","502624","2019",".244",".421",".320",".322",".177","87.3","19.6",6.3
"Holland, Derek","502706","2019",".243",".500",".357",".346",".257","91.1","14",12.2
"Peacock, Brad","502748","2019",".223",".410",".305",".297",".187","90.1","14.3",8
"Darvish, Yu","506433","2019",".223",".398",".298",".294",".175","88.6","12.6",7.4
"Bettis, Chad","518452","2019",".266",".416",".323",".333",".149","90","2.6",5.5
"Bumgarner, Madison","518516","2019",".254",".459",".321",".301",".205","90.4","18.3",9
"Cishek, Steve","518553","2019",".229",".367",".315",".335",".138","84.8","11.4",5.7
"Diekman, Jake","518617","2019",".205",".302",".301",".346",".098","88","9.1",4.1
"Duffy, Danny","518633","2019",".260",".467",".341",".332",".207","89.3","16.4",7.5
"Harvey, Matt","518774","2019",".304",".543",".393",".391",".239","90.7","12.5",7.7
"Kelly, Merrill","518876","2019",".271",".493",".344",".327",".222","89.9","12.5",9.5
"McFarland, T.J.","519008","2019",".301",".475",".351",".360",".174","88.4","-0.1",6.2
"Pomeranz, Drew","519141","2019",".229",".413",".314",".313",".185","89.8","14.7",8.9
"Porcello, Rick","519144","2019",".263",".482",".334",".312",".219","88.4","15.7",9.6
"Sale, Chris","519242","2019",".213",".380",".284",".277",".167","88.5","12.9",8.1
"Smith, Will","519293","2019",".208",".353",".269",".272",".145","89.6","13.9",6.4
"Walden, Marcus","519393","2019",".236",".352",".301",".324",".116","89.4","7.5",2.8
"Workman, Brandon","519443","2019",".175",".235",".257",".312",".060","88.2","9.5",0.7
"Zimmermann, Jordan","519455","2019",".297",".522",".363",".340",".225","90.3","12.6",9.5
"Báez, Pedro","520980","2019",".182",".301",".249",".264",".119","87.5","21.6",2.8
"Hendriks, Liam","521230","2019",".182",".302",".229",".239",".119","89.8","21.1",5.9
"Font, Wilmer","521655","2019",".225",".419",".305",".298",".194","89.2","18",9.6
"Pérez, Martín","527048","2019",".245",".385",".306",".316",".140","86.2","9.5",5.3
"Teheran, Julio","527054","2019",".240",".416",".327",".338",".175","89","15.5",6.9
"Osuna, Roberto","532077","2019",".212",".357",".264",".256",".145","86.2","14.2",6
"Andriese, Matt","542882","2019",".225",".379",".289",".299",".154","89.1","7.6",6.5
"Armstrong, Shawn","542888","2019",".255",".451",".344",".347",".196","88.1","21.1",9.1
"Chatwood, Tyler","543022","2019",".261",".366",".325",".358",".105","87.7","4.7",2.9
"Cole, Gerrit","543037","2019",".181",".315",".237",".232",".134","87.6","14",5.9
"Conley, Adam","543045","2019",".273",".462",".345",".355",".189","88.6","16.1",6.6
"DeSclafani, Anthony","543101","2019",".233",".401",".297",".294",".168","89.1","12.3",7.1
"Eovaldi, Nathan","543135","2019",".240",".432",".337",".338",".193","90.8","11.3",8.8
"Gaviglio, Sam","543208","2019",".232",".428",".302",".282",".196","88.3","10.2",6.5
"Gray, Sonny","543243","2019",".209",".354",".286",".295",".145","88.1","9.1",6.8
"Hendricks, Kyle","543294","2019",".248",".393",".294",".290",".146","86.5","14.2",5.4
"Hudson, Daniel","543339","2019",".221",".421",".306",".299",".200","89.3","15.7",8.9
"Lyles, Jordan","543475","2019",".233",".426",".312",".306",".193","89.9","15",8.1
"May, Trevor","543507","2019",".196",".355",".281",".285",".159","87.8","18.6",7
"McHugh, Collin","543521","2019",".234",".410",".311",".313",".176","88","15.1",7
"Milone, Tommy","543548","2019",".246",".472",".320",".290",".226","87.2","16.5",9.6
"Montgomery, Mike","543557","2019",".307",".525",".382",".375",".217","90.4","7.1",8.2
"Odorizzi, Jake","543606","2019",".230",".400",".299",".297",".169","89.2","18.1",7.8
"Roark, Tanner","543699","2019",".269",".466",".341",".336",".197","89","15.5",8.4
"Shaw, Bryan","543766","2019",".259",".437",".338",".342",".178","90.5","7.3",6.8
"Familia, Jeurys","544727","2019",".238",".385",".327",".364",".147","87.5","9",6
"Strasburg, Stephen","544931","2019",".211",".337",".267",".273",".126","87.9","7.8",6.1
"Bauer, Trevor","545333","2019",".223",".402",".310",".310",".178","88.7","16.4",8.6
"Lorenzen, Michael","547179","2019",".214",".332",".271",".284",".119","85.5","11.7",3.1
"Tanaka, Masahiro","547888","2019",".261",".434",".316",".303",".173","89.1","11.1",6.2
"Ryu, Hyun Jin","547943","2019",".249",".370",".281",".279",".121","86.6","7.2",4.7
"Stripling, Ross","548389","2019",".234",".382",".284",".278",".148","89.2","10.8",6.7
"Wheeler, Zack","554430","2019",".245",".393",".297",".296",".148","87","12.3",5.3
"Peña, Félix","570240","2019",".251",".434",".326",".324",".183","89","13.3",6.8
"Ureña, José","570632","2019",".282",".467",".341",".336",".185","90.7","9.1",7.9
"Robles, Hansel","570663","2019",".213",".348",".259",".257",".135","89","15.4",4.7
"Cessa, Luis","570666","2019",".228",".369",".297",".306",".141","88.4","10.9",5.1
"Boyd, Matthew","571510","2019",".224",".412",".297",".282",".188","89.3","19.3",9
"Corbin, Patrick","571578","2019",".227",".414",".304",".296",".186","89.9","8.4",9.4
"Farmer, Buck","571656","2019",".235",".424",".312",".311",".189","89.5","10.2",7.5
"Fiers, Mike","571666","2019",".260",".463",".336",".323",".203","88.1","15.7",7.2
"Givens, Mychal","571710","2019",".218",".416",".306",".300",".199","88.9","15",11
"Heaney, Andrew","571760","2019",".236",".436",".317",".306",".200","90.4","18.5",9.8
"Law, Derek","571882","2019",".242",".387",".326",".357",".145","89.5","8.5",4.6
"Matz, Steven","571927","2019",".255",".450",".326",".319",".195","88.9","10.3",8.6
"Mikolas, Miles","571945","2019",".278",".451",".330",".321",".173","88.5","10.3",6.1
"Paxton, James","572020","2019",".221",".379",".291",".291",".158","89.2","17.6",7.4
"Skaggs, Tyler","572140","2019",".260",".424",".322",".325",".164","88.6","15.8",6.2
"Erlin, Robbie","572362","2019",".273",".441",".326",".319",".168","87.9","9.8",6
"VerHagen, Drew","572403","2019",".259",".426",".333",".337",".168","89.1","8.8",7.2
"Greene, Shane","572888","2019",".230",".416",".303",".292",".186","89.5","13.6",8.3
"Keuchel, Dallas","572971","2019",".260",".422",".328",".334",".162","88.8","2.9",6.9
"Rogers, Taylor","573124","2019",".184",".315",".238",".236",".131","87.9","6.9",7
"Stroman, Marcus","573186","2019",".242",".370",".292",".300",".128","88.2","5.6",4.1
"Kikuchi, Yusei","579328","2019",".278",".477",".345",".335",".199","89.2","12.3",7.7
"Bedrosian, Cam","592135","2019",".218",".362",".293",".297",".144","89","10.3",5.9
"Claudio, Alex","592222","2019",".236",".351",".303",".327",".115","85.8","3",4.2
"Covey, Dylan","592229","2019",".324",".555",".399",".396",".231","89.9","11.2",9.6
"Foltynewicz, Mike","592314","2019",".255",".456",".328",".316",".200","89.1","15",7.8
"Gausman, Kevin","592332","2019",".259",".452",".328",".321",".192","88.7","13.6",8
"González, Chi Chi","592346","2019",".271",".456",".355",".362",".185","88.1","12.1",5.6
"Gray, Jon","592351","2019",".268",".426",".327",".337",".158","89.9","8.4",5.9
"Jackson, Luke","592426","2019",".199",".340",".263",".271",".141","88.8","2.4",7.2
"Kingham, Nick","592468","2019",".276",".490",".354",".347",".214","88.5","14.5",8
"Osich, Josh","592612","2019",".254",".455",".318",".295",".201","88.3","9.8",7.7
"Plutko, Adam","592644","2019",".266",".464",".328",".313",".197","88.1","19.9",7.6
"Ray, Robbie","592662","2019",".228",".428",".322",".323",".201","88.9","14.8",10.7
"Sampson, Adrian","592716","2019",".292",".540",".372",".349",".247","91","15.5",10.1
"Sanchez, Aaron","592717","2019",".261",".435",".343",".357",".174","89.8","8.9",7.6
"Smith, Caleb","592761","2019",".226",".460",".323",".305",".234","88.7","23.6",10.9
"Smyly, Drew","592767","2019",".262",".516",".361",".343",".254","89","17.8",9.8
"Stanek, Ryne","592773","2019",".223",".411",".314",".318",".188","90.3","18",9.5
"Syndergaard, Noah","592789","2019",".230",".365",".280",".281",".135","86.8","9.8",4.9
"Velasquez, Vince","592826","2019",".248",".466",".335",".325",".218","90.8","17.7",10.2
"Williams, Trevor","592866","2019",".271",".478",".341",".330",".206","88","17.2",8.3
"Wojciechowski, Asher","592879","2019",".248",".483",".342",".325",".235","88.1","21.4",10.7
"Rodríguez, Richard","593144","2019",".234",".412",".304",".303",".178","89.9","16.7",7.7
"Germán, Domingo","593334","2019",".243",".444",".316",".300",".201","89.4","15.2",8.8
"Montas, Frankie","593423","2019",".234",".361",".281",".286",".127","87","9.9",3.8
"Neris, Héctor","593576","2019",".190",".329",".269",".280",".139","88.9","13",7.1
"Ynoa, Gabriel","593679","2019",".287",".537",".363",".330",".250","90","11.1",10.2
"Suero, Wander","593833","2019",".259",".406",".317",".330",".147","89","11",5.9
"Rodriguez, Eduardo","593958","2019",".223",".375",".292",".297",".152","86.2","9.8",5.9
"deGrom, Jacob","594798","2019",".201",".319",".250",".253",".118","86.5","13.2",4.8
"Gonzales, Marco","594835","2019",".254",".407",".311",".311",".153","88.3","14.7",4.9
"Ryan, Kyle","594986","2019",".233",".340",".295",".323",".107","88.9","6.1",3.5
"Treinen, Blake","595014","2019",".247",".419",".337",".356",".171","88","12.5",7.7
"Beede, Tyler","595881","2019",".263",".471",".343",".336",".208","91.3","11.5",8.4
"Junis, Jakob","596001","2019",".270",".480",".345",".335",".210","90.1","12.7",8.6
"Mengden, Daniel","596043","2019",".258",".431",".331",".335",".174","89.1","19",5.8
"Norris, Daniel","596057","2019",".266",".475",".335",".316",".210","90.9","11.7",8.8
"Peters, Dillon","596071","2019",".279",".511",".361",".346",".232","89.4","13.6",8.7
"Stephenson, Robert","596112","2019",".195",".318",".255",".271",".123","87.3","19",5.1
"Weaver, Luke","596133","2019",".253",".426",".309",".301",".173","89.9","14.6",6.3
"Barnes, Matt","598264","2019",".188",".299",".270",".301",".111","89.3","9.5",5.2
