last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Hicks, Aaron,2019,.212,.390,.301,.307,.176,89.8,14.7,9.9,
Hicks, John,2019,.201,.351,.247,.232,.148,87.4,15.9,6.6,
Hosmer, Eric,2019,.259,.418,.308,.307,.156,90.5,2.1,7.2,
Kipnis, Jason,2019,.261,.418,.316,.323,.155,86.7,13.1,5.5,
McCann, James,2019,.256,.445,.321,.313,.187,89.9,10.7,9.2,
Nola, Austin,2019,.235,.369,.296,.313,.132,87.1,16.0,3.4,
Rendon, Anthony,2019,.319,.599,.418,.415,.279,90.4,19.5,12.0,
Semien, Marcus,2019,.275,.495,.362,.362,.217,88.8,14.7,8.5,
Shaw, Travis,2019,.183,.334,.278,.304,.151,88.7,24.4,7.1,
Springer, George,2019,.287,.578,.398,.380,.288,89.8,10.3,14.3,
Gordon, Dee,2019,.254,.308,.260,.287,.051,83.0,5.3,0.0,
Vazquez, Christian,2019,.254,.447,.316,.303,.191,88.7,12.9,6.2,
Wong, Kolten,2019,.259,.368,.308,.339,.106,83.6,10.6,2.5,
Gregorius, Didi,2019,.247,.408,.293,.287,.159,88.2,17.2,5.9,
Garcia, Leury,2019,.247,.352,.274,.280,.101,86.6,4.8,3.8,
Vargas, Ildemaro,2019,.255,.359,.278,.287,.102,86.8,3.0,3.4,
Grichuk, Randal,2019,.237,.427,.301,.286,.188,89.3,16.2,8.5,
Marisnick, Jake,2019,.202,.328,.255,.261,.124,85.0,9.7,4.0,
Trout, Mike,2019,.311,.669,.455,.456,.357,90.7,22.2,18.6,
Almora Jr., Albert,2019,.254,.382,.280,.288,.126,85.2,8.2,4.6,
Ruiz, Rio,2019,.235,.360,.293,.310,.123,87.9,10.7,2.8,
Wolters, Tony,2019,.244,.316,.281,.324,.069,84.8,9.6,0.0,
Harper, Bryce,2019,.279,.548,.387,.389,.267,91.3,13.1,14.8,
Perez, Roberto,2019,.227,.451,.323,.312,.220,88.3,4.3,11.0,
Martin, Leonys,2019,.191,.337,.265,.268,.144,84.7,14.3,6.2,
Abreu, Jose,2019,.283,.520,.359,.336,.234,92.1,10.9,12.8,
Diaz, Elias,2019,.245,.334,.281,.303,.086,87.6,9.0,2.4,
Narvaez, Omar,2019,.254,.422,.324,.332,.165,85.4,17.8,5.3,
Astudillo, Willians,2019,.288,.423,.320,.323,.133,85.8,15.7,2.7,
Suarez, Eugenio,2019,.248,.503,.355,.341,.253,89.4,17.8,14.0,
Santana, Domingo,2019,.257,.492,.347,.334,.233,89.0,11.7,12.5,
Urshela, Gio,2019,.294,.505,.353,.337,.209,90.5,13.6,7.0,
Sanchez, Yolmer,2019,.237,.320,.276,.305,.080,85.6,12.8,1.0,
Schoop, Jonathan,2019,.252,.439,.312,.300,.185,87.5,12.5,8.8,
Adams, Matt,2019,.227,.479,.318,.280,.250,88.4,19.2,14.8,
Arenado, Nolan,2019,.272,.484,.344,.343,.208,89.4,17.7,8.0,
Barnhart, Tucker,2019,.221,.326,.280,.320,.103,86.1,11.6,3.0,
Goodwin, Brian,2019,.239,.414,.307,.308,.173,87.3,17.6,6.3,
Hamilton, Billy,2019,.233,.271,.261,.303,.032,78.3,12.8,0.0,
Haniger, Mitch,2019,.225,.456,.327,.320,.230,88.4,18.7,12.0,
Hernandez, Enrique,2019,.242,.411,.308,.311,.167,88.4,19.5,5.9,
Holt, Brock,2019,.271,.372,.317,.351,.098,87.5,11.0,1.5,
Lamb, Jake,2019,.229,.429,.340,.359,.198,90.4,13.8,8.2,
Muncy, Max,2019,.269,.522,.385,.390,.251,89.7,14.2,12.3,
Myers, Wil,2019,.241,.435,.323,.323,.193,88.9,11.1,11.2,
Naquin, Tyler,2019,.277,.472,.327,.315,.193,90.2,12.3,9.0,
Phegley, Josh,2019,.249,.374,.287,.293,.122,83.7,17.0,3.1,
Piscotty, Stephen,2019,.253,.444,.323,.314,.188,89.1,12.6,7.9,
Pollock, A.J.,2019,.265,.459,.334,.330,.192,90.5,13.9,8.0,
Seager, Kyle,2019,.264,.486,.349,.343,.222,89.3,18.6,8.4,
Voit, Luke,2019,.249,.494,.365,.367,.242,89.7,12.8,13.2,
Walker, Christian,2019,.263,.516,.362,.352,.250,91.1,14.8,13.1,
Zunino, Mike,2019,.194,.380,.271,.258,.184,88.4,19.2,11.3,
Carpenter, Matt,2019,.230,.427,.332,.340,.194,87.2,18.1,7.8,
Dickerson, Corey,2019,.266,.475,.318,.307,.208,87.1,16.4,8.2,
Dozier, Brian,2019,.240,.432,.331,.343,.190,88.3,19.0,6.7,
Yastrzemski, Mike,2019,.258,.510,.344,.321,.251,88.7,18.5,11.2,
Contreras, Willson,2019,.250,.476,.342,.336,.225,88.3,7.3,11.5,
Iglesias, Jose,2019,.272,.369,.289,.303,.093,84.0,7.0,2.5,
Hechavarria, Adeiny,2019,.237,.409,.302,.297,.169,87.5,11.4,6.4,
Osuna, Jose,2019,.274,.447,.328,.323,.170,89.2,9.6,5.1,
Bryant, Kris,2019,.246,.460,.347,.351,.212,87.4,19.3,9.3,
Canha, Mark,2019,.248,.469,.362,.376,.219,89.1,15.0,9.5,
Casali, Curt,2019,.235,.396,.309,.319,.160,87.2,19.0,6.0,
Castellanos, Nicholas,2019,.283,.547,.364,.333,.262,89.0,13.9,11.2,
DeShields, Delino,2019,.232,.323,.280,.309,.089,82.9,10.6,2.2,
Drury, Brandon,2019,.247,.427,.305,.292,.178,86.9,13.8,9.1,
Gamel, Ben,2019,.235,.349,.301,.328,.112,88.2,10.1,3.8,
Goodrum, Niko,2019,.241,.393,.304,.316,.150,89.3,13.2,6.3,
Jones, JaCoby,2019,.250,.439,.323,.324,.187,91.3,13.7,10.7,
Judge, Aaron,2019,.281,.580,.401,.390,.298,95.9,11.4,20.2,
Machado, Manny,2019,.266,.466,.342,.345,.198,91.2,13.0,8.0,
Moran, Colin,2019,.262,.442,.316,.309,.178,88.2,12.3,7.4,
Pederson, Joc,2019,.254,.477,.347,.343,.221,90.9,15.3,10.3,
Realmuto, J.T.,2019,.278,.474,.342,.337,.192,90.3,14.4,8.7,
Renfroe, Hunter,2019,.218,.451,.311,.292,.230,89.9,19.1,12.0,
Rosario, Eddie,2019,.269,.501,.330,.297,.230,89.1,16.7,8.5,
Simmons, Andrelton,2019,.238,.321,.265,.285,.079,87.7,9.4,1.7,
Wilkerson, Stevie,2019,.202,.317,.255,.265,.112,85.7,10.5,3.6,
Yelich, Christian,2019,.314,.623,.421,.418,.307,93.1,11.2,15.8,
Merrifield, Whit,2019,.288,.435,.325,.335,.145,86.4,15.3,4.3,
Bogaerts, Xander,2019,.280,.484,.358,.360,.202,90.6,13.1,8.6,
Alberto, Hanser,2019,.290,.397,.303,.315,.105,82.8,10.7,2.9,
Polanco, Jorge,2019,.279,.469,.344,.345,.188,87.0,17.9,6.7,
Sano, Miguel,2019,.234,.544,.363,.335,.310,94.4,15.9,21.2,
Calhoun, Kole,2019,.247,.477,.340,.339,.228,89.3,14.7,11.2,
Eaton, Adam,2019,.277,.423,.340,.363,.144,86.6,13.2,3.8,
Garcia, Greg,2019,.222,.303,.295,.343,.078,84.7,3.4,2.6,
Kiermaier, Kevin,2019,.246,.393,.292,.295,.144,88.9,6.7,5.5,
Alfaro, Jorge,2019,.250,.455,.319,.301,.202,90.8,4.7,11.5,
Profar, Jurickson,2019,.251,.426,.323,.332,.172,86.7,14.2,6.2,
Baez, Javier,2019,.270,.503,.334,.305,.231,91.0,7.6,12.7,
Cave, Jake,2019,.263,.486,.360,.357,.220,90.5,7.4,12.5,
Hedges, Austin,2019,.198,.351,.266,.272,.151,85.8,20.4,8.3,
Lindor, Francisco,2019,.276,.462,.330,.330,.183,90.6,11.9,7.5,
Odor, Rougned,2019,.229,.468,.322,.304,.239,89.4,16.2,13.6,
Smith Jr, Dwight,2019,.243,.377,.292,.300,.132,88.7,7.2,3.9,
Story, Trevor,2019,.264,.463,.339,.337,.198,90.9,17.3,8.6,
Vogelbach, Daniel,2019,.228,.445,.346,.359,.216,88.9,17.2,10.8,
Sanchez, Gary,2019,.247,.552,.363,.330,.304,91.0,19.1,19.1,
Cuthbert, Cheslor,2019,.251,.384,.292,.298,.131,88.9,15.0,4.5,
Kepler, Max,2019,.262,.458,.342,.346,.195,89.7,18.2,8.9,
Franco, Maikel,2019,.243,.417,.292,.308,.171,89.0,14.9,6.9,
Choi, Ji-Man,2019,.263,.496,.366,.368,.230,91.1,12.6,11.3,
Bradley Jr., Jackie,2019,.242,.435,.327,.334,.191,89.7,8.7,9.9,
La Stella, Tommy,2019,.296,.482,.350,.347,.183,87.8,13.2,5.3,
Severino, Pedro,2019,.269,.446,.337,.341,.174,87.2,12.9,8.5,
Nunez, Renato,2019,.252,.469,.331,.319,.216,89.9,20.0,10.7,
Candelario, Jeimer,2019,.229,.364,.302,.328,.134,88.0,15.6,5.9,
Ahmed, Nick,2019,.257,.422,.318,.323,.163,87.5,7.5,6.6,
Anderson, Brian,2019,.259,.461,.343,.343,.198,89.9,11.1,8.9,
Barnes, Austin,2019,.193,.302,.258,.285,.107,86.9,16.0,4.4,
Bell, Josh,2019,.283,.556,.381,.374,.271,92.3,13.0,12.7,
Betts, Mookie,2019,.311,.573,.408,.408,.260,91.0,19.1,10.3,
Caratini, Victor,2019,.257,.432,.335,.344,.173,89.6,6.7,9.0,
Davis, J.D.,2019,.308,.548,.383,.370,.237,91.4,10.6,11.4,
Panik, Joe,2019,.251,.373,.304,.323,.118,86.3,12.3,2.0,
Smith, Mallex,2019,.219,.297,.265,.293,.074,84.3,7.2,2.2,
Castro, Harold,2019,.265,.377,.283,.282,.108,86.3,7.9,3.6,
Arcia, Orlando,2019,.232,.367,.284,.295,.131,87.5,6.3,4.6,
Tapia, Raimel,2019,.259,.376,.287,.294,.114,87.4,7.3,3.7,
Aquino, Aristides,2019,.250,.501,.334,.309,.250,87.9,18.2,13.6,
Hernandez, Teoscar,2019,.219,.446,.311,.296,.226,91.1,15.5,11.7,
Peraza, Jose,2019,.269,.361,.291,.314,.091,84.7,17.1,0.3,
Marte, Ketel,2019,.299,.521,.370,.362,.219,89.8,11.5,9.3,
Greiner, Grayson,2019,.197,.325,.246,.247,.127,86.3,11.8,5.7,
Nimmo, Brandon,2019,.219,.348,.330,.381,.128,88.1,11.4,6.8,
Turner, Trea,2019,.282,.454,.336,.340,.169,90.3,9.7,6.8,
Smith, Kevan,2019,.292,.454,.346,.354,.160,89.4,5.9,6.5,
Beaty, Matt,2019,.280,.427,.321,.331,.145,89.4,10.2,5.1,
Pillar, Kevin,2019,.263,.407,.295,.294,.142,86.0,13.9,4.9,
Stallings, Jacob,2019,.259,.423,.313,.323,.160,88.8,10.9,5.9,
Ramirez, Jose,2019,.274,.465,.342,.347,.190,89.1,19.8,6.3,
Bregman, Alex,2019,.272,.471,.378,.407,.198,89.3,19.6,5.4,
Gallo, Joey,2019,.229,.605,.395,.370,.376,93.0,20.3,26.4,
Kelly, Carson,2019,.247,.466,.337,.349,.218,89.0,14.3,8.9,
Russell, Addison,2019,.224,.354,.285,.299,.127,86.3,8.6,6.9,
Seager, Corey,2019,.261,.464,.332,.326,.199,88.8,14.1,7.3,
Winker, Jesse,2019,.284,.461,.354,.370,.174,89.1,7.4,5.0,
Lugo, Dawel,2019,.264,.394,.290,.291,.128,86.9,7.7,4.6,
Mazara, Nomar,2019,.272,.485,.337,.324,.212,89.1,10.5,10.7,
Murphy, Tom,2019,.218,.440,.301,.274,.220,90.6,18.9,10.9,
Guzman, Ronald,2019,.238,.433,.326,.328,.194,85.6,14.9,9.2,
Mondesi, Adalberto,2019,.237,.380,.282,.272,.140,87.9,9.6,8.2,
Reyes, Franmil,2019,.264,.539,.360,.328,.273,93.3,9.5,14.8,
Robertson, Daniel,2019,.212,.294,.276,.311,.079,87.3,5.6,1.4,
Martin, Richie,2019,.216,.302,.250,.267,.083,80.5,7.2,2.4,
Swanson, Dansby,2019,.271,.480,.347,.346,.206,89.8,14.2,10.1,
Newman, Kevin,2019,.291,.389,.312,.337,.095,84.7,8.1,2.1,
Taylor, Chris,2019,.238,.396,.301,.312,.156,85.2,12.9,5.8,
Correa, Carlos,2019,.290,.559,.391,.376,.269,89.0,12.4,13.5,
Dahl, David,2019,.267,.482,.340,.323,.212,88.2,10.8,10.3,
Buxton, Byron,2019,.249,.433,.309,.302,.182,89.3,19.5,8.3,
Brinson, Lewis,2019,.201,.294,.243,.262,.090,86.1,9.0,3.9,
Duggar, Steven,2019,.238,.354,.276,.284,.114,84.7,8.0,4.3,
Stewart, Christin,2019,.242,.425,.314,.315,.182,86.9,19.0,7.4,
Wendle, Joey,2019,.254,.335,.285,.315,.079,87.4,11.6,1.5,
Olson, Matt,2019,.276,.576,.386,.360,.296,91.9,18.3,14.5,
Margot, Manuel,2019,.234,.337,.279,.304,.102,86.5,13.3,3.5,
Camargo, Johan,2019,.249,.361,.282,.295,.108,86.7,10.8,3.7,
Reyes, Victor,2019,.283,.379,.300,.317,.094,86.4,8.0,1.9,
Bote, David,2019,.251,.385,.322,.358,.131,89.7,7.7,5.7,
Ramirez, Harold,2019,.276,.413,.309,.313,.133,88.9,3.8,6.3,
Santander, Anthony,2019,.263,.463,.321,.300,.197,89.6,14.8,7.7,
Alonso, Pete,2019,.257,.542,.374,.358,.284,90.6,14.8,15.8,
Biggio, Cavan,2019,.240,.426,.345,.369,.184,88.7,20.1,9.0,
Conforto, Michael,2019,.262,.504,.367,.370,.240,88.8,15.7,11.9,
Frazier, Adam,2019,.275,.399,.315,.334,.121,86.3,12.1,1.9,
Puig, Yasiel,2019,.266,.464,.334,.327,.196,89.9,14.2,9.6,
Soler, Jorge,2019,.277,.593,.392,.365,.314,92.6,15.4,16.9,
Heredia, Guillermo,2019,.248,.346,.298,.327,.097,85.5,12.5,2.7,
Ervin, Phillip,2019,.234,.370,.295,.302,.134,85.1,14.5,5.1,
Frazier, Clint,2019,.245,.459,.315,.298,.213,88.4,15.4,10.8,
Meadows, Austin,2019,.284,.547,.372,.358,.261,90.4,16.7,12.5,
Mercado, Oscar,2019,.262,.403,.308,.313,.139,86.5,13.4,4.1,
Pinder, Chad,2019,.254,.441,.315,.304,.186,90.5,8.8,8.2,
Anderson, Tim,2019,.294,.461,.328,.318,.164,88.3,8.7,5.1,
Bauers, Jake,2019,.224,.352,.290,.312,.126,87.5,14.6,5.0,
Bellinger, Cody,2019,.323,.638,.429,.423,.314,90.7,17.6,13.0,
Calhoun, Willie,2019,.268,.452,.330,.325,.183,89.7,17.6,6.2,
Cordell, Ryan,2019,.213,.358,.274,.283,.143,85.9,16.7,6.5,
Crawford, J.P.,2019,.237,.337,.294,.325,.097,84.3,11.4,3.4,
Dixon, Brandon,2019,.240,.442,.306,.285,.201,89.5,17.0,11.2,
Dozier, Hunter,2019,.261,.471,.337,.333,.208,91.1,16.7,10.0,
Engel, Adam,2019,.225,.342,.275,.288,.112,84.1,10.0,5.3,
Garver, Mitch,2019,.256,.573,.380,.350,.316,91.1,15.3,15.5,
Hampson, Garrett,2019,.227,.329,.265,.283,.099,83.2,11.1,3.7,
Locastro, Tim,2019,.238,.305,.301,.348,.063,83.4,12.3,1.2,
Mancini, Trey,2019,.283,.511,.364,.359,.224,90.3,7.8,10.3,
McKinney, Billy,2019,.229,.374,.285,.288,.145,85.9,14.6,6.6,
McMahon, Ryan,2019,.245,.429,.322,.325,.182,91.4,8.4,9.0,
Tellez, Rowdy,2019,.251,.476,.332,.317,.223,90.7,14.0,13.2,
VanMeter, Josh,2019,.243,.417,.324,.332,.170,89.7,16.0,4.0,
Mejia, Francisco,2019,.229,.381,.285,.283,.150,87.8,19.1,4.7,
Rosario, Amed,2019,.291,.423,.320,.328,.130,89.2,8.8,4.2,
Adames, Willy,2019,.249,.433,.315,.312,.182,87.8,10.0,8.4,
Benintendi, Andrew,2019,.267,.461,.340,.344,.192,88.6,17.3,8.1,
Cooper, Garrett,2019,.269,.464,.340,.336,.192,89.1,4.5,9.6,
Jansen, Danny,2019,.247,.418,.314,.316,.170,88.7,16.1,5.9,
Kemp, Tony,2019,.207,.293,.262,.290,.083,84.3,13.0,1.5,
Kiner-Falefa, Isiah,2019,.225,.300,.258,.287,.072,86.9,6.5,1.3,
McNeil, Jeff,2019,.290,.472,.355,.360,.178,88.4,13.2,4.8,
Tauchman, Mike,2019,.248,.412,.323,.336,.162,88.5,11.5,6.3,
White, Tyler,2019,.202,.306,.274,.305,.101,86.1,12.6,3.6,
Albies, Ozzie,2019,.291,.490,.351,.348,.197,88.8,15.6,6.6,
Robles, Victor,2019,.233,.370,.292,.307,.134,81.0,14.5,4.8,
Devers, Rafael,2019,.295,.519,.360,.347,.223,92.1,10.3,9.0,
Naylor, Josh,2019,.241,.378,.297,.308,.132,89.6,4.5,6.3,
Diaz, Aledmys,2019,.268,.423,.339,.360,.153,88.3,12.2,6.4,
Urias, Luis,2019,.229,.352,.304,.334,.121,86.7,9.5,4.4,
Arraez, Luis,2019,.290,.410,.336,.361,.116,86.9,11.4,2.7,
Jimenez, Eloy,2019,.268,.521,.349,.318,.251,91.2,9.3,12.8,
Torres, Gleyber,2019,.262,.497,.341,.324,.233,89.0,17.4,10.1,
Diaz, Yandy,2019,.284,.491,.358,.358,.204,91.7,5.7,10.4,
Rengifo, Luis,2019,.236,.365,.303,.321,.126,86.7,9.1,6.0,
Allen, Greg,2019,.236,.341,.282,.297,.102,85.3,7.1,2.7,
Chapman, Matt,2019,.255,.505,.360,.347,.248,92.6,16.3,12.3,
Chavis, Michael,2019,.222,.413,.298,.293,.190,88.8,12.0,11.4,
Diaz, Isan,2019,.183,.321,.258,.267,.136,87.7,17.3,7.4,
Haseley, Adam,2019,.223,.331,.266,.284,.106,87.0,4.7,3.7,
Hoskins, Rhys,2019,.221,.426,.342,.363,.203,89.7,24.0,9.7,
Luplow, Jordan,2019,.248,.468,.348,.349,.218,89.3,15.7,12.1,
O'Hearn, Ryan,2019,.227,.411,.308,.311,.182,90.5,13.0,9.1,
Schwarber, Kyle,2019,.267,.553,.375,.356,.284,92.7,15.0,14.5,
Verdugo, Alex,2019,.288,.452,.331,.338,.162,89.4,8.8,5.7,
DeJong, Paul,2019,.237,.439,.325,.323,.201,87.0,18.5,8.6,
Laureano, Ramon,2019,.274,.487,.342,.330,.211,89.5,14.8,9.7,
Moncada, Yoan,2019,.291,.524,.362,.346,.231,92.8,12.0,12.2,
Ohtani, Shohei,2019,.282,.486,.349,.341,.201,92.8,6.8,12.2,
Acuna Jr., Ronald,2019,.279,.572,.386,.365,.290,90.6,14.2,15.0,
Riley, Austin,2019,.225,.456,.305,.281,.230,89.4,20.6,13.7,
France, Ty,2019,.233,.393,.293,.294,.159,88.9,15.1,5.9,
Lowe, Brandon,2019,.244,.507,.346,.315,.262,91.1,18.7,16.3,
Bader, Harrison,2019,.219,.408,.316,.328,.186,86.6,13.2,9.9,
Fletcher, David,2019,.302,.380,.323,.361,.076,83.7,9.8,0.4,
Kingery, Scott,2019,.247,.435,.314,.306,.187,88.2,17.5,8.0,
Moore, Dylan,2019,.193,.338,.277,.291,.143,87.5,18.5,6.5,
Tatis Jr., Fernando,2019,.259,.490,.345,.329,.229,89.6,6.9,13.2,
Guerrero Jr., Vladimir,2019,.263,.437,.330,.332,.170,89.4,6.7,7.7,
Soto, Juan,2019,.285,.576,.407,.404,.288,91.3,12.0,12.3,
Bichette, Bo,2019,.273,.472,.335,.323,.196,89.6,10.3,8.8,
Gurriel Jr., Lourdes,2019,.258,.510,.342,.313,.250,90.2,14.1,11.2,
Reynolds, Bryan,2019,.296,.476,.357,.363,.179,89.6,9.4,6.7,
Senzel, Nick,2019,.243,.409,.303,.304,.163,87.5,11.0,8.0,
Edman, Tommy,2019,.287,.441,.330,.334,.152,87.1,14.1,5.3,
Hiura, Keston,2019,.266,.530,.360,.335,.263,91.4,16.0,13.9,
